species,date,geartype,sex,inches,pounds,mm,grams,age,agestruct
BG,4/28/1999,BOOM SHOCKER,NA,0.9,0.001,23,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1,0.001,25,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1,0.001,25,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1,0.001,25,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1,0.001,25,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1,0.001,25,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.1,0,28,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.1,0,28,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.1,0.001,28,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.1,0.001,28,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.1,NA,28,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,0,30,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.2,0.001,30,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.2,0.001,30,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.2,0.003,30,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.2,NA,30,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.2,NA,30,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0,33,0,NA,NA
