species,date,geartype,sex,inches,pounds,mm,grams,age,agestruct
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0,33,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0,33,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0.001,33,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0.001,33,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.3,0.001,33,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0.002,33,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.3,0.002,33,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.3,0.002,33,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.3,0.002,33,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.3,NA,33,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.001,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.001,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.001,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.001,36,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.4,0.002,36,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.4,0.003,36,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.4,0.003,36,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.4,0.003,36,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.4,NA,36,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0,38,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,0.001,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.001,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.001,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.001,38,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.001,38,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,0.001,38,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,0.002,38,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,0.002,38,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.002,38,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.002,38,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,0.003,38,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.5,0.005,38,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,0.007,38,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.5,NA,38,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0,41,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.001,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.001,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.001,41,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.001,41,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.001,41,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.002,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.003,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.003,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.003,41,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,0.003,41,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.003,41,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.003,41,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.003,41,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.003,41,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.6,0.005,41,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,NA,41,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.6,NA,41,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,0,43,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.001,43,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.002,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.003,43,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.003,43,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,0.004,43,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,0.004,43,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,0.004,43,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,0.004,43,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.8,0.001,46,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,0.002,46,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,0.002,46,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,0.002,46,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.8,0.003,46,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.8,0.003,46,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,0.003,46,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,0.004,46,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,0.004,46,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,0.002,48,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.002,48,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.002,48,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,0.003,48,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,0.003,48,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,0.003,48,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.003,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.003,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.003,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.003,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.003,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.004,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.004,48,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,0.004,48,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,0.004,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.004,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.005,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.005,48,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,0.005,48,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,0.001,51,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.002,51,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.002,51,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,0.003,51,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.004,51,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,0.004,51,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,0.004,51,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,0.004,51,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.005,51,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.005,51,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.005,51,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.007,51,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,0.007,51,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,NA,51,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.001,53,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.002,53,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.002,53,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.003,53,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.003,53,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.003,53,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.003,53,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.003,53,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.004,53,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.004,53,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.004,53,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.004,53,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.004,53,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.004,53,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.005,53,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.005,53,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.005,53,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0.006,53,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.007,53,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,0.007,53,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,NA,53,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,NA,53,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.002,56,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.002,56,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.003,56,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.003,56,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.003,56,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,0.003,56,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,0.004,56,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,0.004,56,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.004,56,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,0.005,56,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,0.005,56,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.006,56,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.006,56,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.007,56,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.007,56,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.007,56,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,0.007,56,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,NA,56,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.002,58,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.003,58,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.004,58,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.004,58,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.004,58,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.005,58,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.005,58,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.006,58,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.007,58,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.007,58,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.007,58,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.007,58,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,0.007,58,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.008,58,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,0.008,58,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,NA,58,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.004,61,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,0.005,61,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,0.005,61,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.007,61,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.007,61,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.007,61,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,0.007,61,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.009,61,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.009,61,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,0.009,61,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,0.009,61,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,0.009,61,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,0.02,61,9,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.006,64,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.006,64,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.007,64,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.007,64,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.007,64,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.009,64,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.009,64,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.009,64,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.009,64,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.01,64,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.01,64,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.01,64,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.01,64,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.011,64,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,0.011,64,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,0.011,64,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.007,66,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.007,66,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.008,66,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.009,66,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.009,66,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.009,66,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.009,66,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.01,66,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.01,66,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.011,66,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.011,66,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.011,66,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,0.011,66,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,0.012,66,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,NA,66,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,NA,66,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,0.007,69,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,0.007,69,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,0.009,69,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.7,0.01,69,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.7,0.011,69,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,0.011,69,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.7,0.013,69,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,0.01,71,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,0.011,71,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,0.011,71,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,0.011,71,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,0.011,71,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,0.012,71,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,0.013,71,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,NA,71,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,0.009,74,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,0.011,74,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,0.011,74,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,0.011,74,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,0.011,74,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,0.012,74,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,0.013,74,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,0.013,74,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,0.013,74,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,0.016,74,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,0.011,76,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,0.013,76,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,0.013,76,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,0.015,76,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,0.015,76,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3,0.015,76,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3,0.018,76,8,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3,0.018,76,8,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,NA,76,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,NA,76,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,0.015,79,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,0.015,79,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,0.015,79,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,0.015,79,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.1,0.015,79,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.1,0.016,79,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.1,0.016,79,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.2,0.018,81,8,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.2,NA,81,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,0.018,84,8,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.3,0.018,84,8,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,0.022,84,10,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,0.022,84,10,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,0.024,84,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,0.031,84,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,NA,84,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,NA,84,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.4,0.015,86,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,0.02,86,9,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,0.022,86,10,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,0.024,86,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,0.024,86,11,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.4,0.024,86,11,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.4,0.027,86,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,NA,86,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,NA,86,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,0.024,89,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,0.026,89,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,0.026,89,12,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.5,0.027,89,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,0.031,89,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,NA,89,NA,NA,NA
