species,lake,yearcap,fishID,agecap,lencap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10
WAE,Bean Lake,1998,75,2,416,4.97846,2.27166,4.27169,4.97846,,,,,,,
WAE,Bean Lake,1998,46,2,425,5.73618,2.60147,4.85996,5.73618,,,,,,,
WAE,Bean Lake,1998,63,2,426,5.29899,2.58879,4.50929,5.29899,,,,,,,
WAE,Bean Lake,1998,90,2,439,4.94672,2.35856,4.03871,4.94672,,,,,,,
WAE,Bean Lake,1998,85,2,444,6.47501,3.08437,5.48226,6.47501,,,,,,,
WAE,Bean Lake,1998,62,2,446,5.08754,2.37441,4.3455,5.08754,,,,,,,
WAE,Bean Lake,1998,2,6,590,7.77675,2.53679,4.65713,6.08373,6.98304,7.3388,7.59474,7.77675,,,
YEP,Bean Lake,1998,76,1,168,2.9553,1.53747,2.9553,,,,,,,,
YEP,Bean Lake,1998,67,1,176,2.76102,1.49961,2.76102,,,,,,,,
YEP,Bean Lake,1998,33,1,178,3.22792,1.96244,3.22792,,,,,,,,
YEP,Bean Lake,1998,74,1,183,3.27542,1.77257,3.27542,,,,,,,,
YEP,Bean Lake,1998,25,1,184,2.6924,1.3187,2.6924,,,,,,,,
YEP,Bean Lake,1998,26,1,187,3.38934,1.56458,3.38934,,,,,,,,
YEP,Bean Lake,1998,19,1,187,3.39548,2.02597,3.39548,,,,,,,,
YEP,Bean Lake,1998,24,1,187,3.34437,1.94101,3.34437,,,,,,,,
YEP,Bean Lake,1998,64,1,190,3.08823,1.72509,3.08823,,,,,,,,
YEP,Bean Lake,1998,27,1,196,3.19214,1.81857,3.19214,,,,,,,,
YEP,Bean Lake,1998,31,1,196,3.30656,1.8415,3.30656,,,,,,,,
YEP,Bean Lake,1998,32,1,197,3.41215,1.80554,3.41215,,,,,,,,
YEP,Bean Lake,1998,18,1,197,3.40455,1.98978,3.40455,,,,,,,,
YEP,Bean Lake,1998,66,1,201,3.69451,1.99889,3.69451,,,,,,,,
YEP,Bean Lake,1998,70,1,201,3.50093,2.02217,3.50093,,,,,,,,
YEP,Bean Lake,1998,73,1,202,3.34496,1.76505,3.34496,,,,,,,,
YEP,Bean Lake,1998,28,1,206,3.55389,2.24593,3.55389,,,,,,,,
YEP,Bean Lake,1998,29,1,206,3.5461,2.08746,3.5461,,,,,,,,
YEP,Bean Lake,1998,71,1,217,3.81684,2.41327,3.81684,,,,,,,,
YEP,Bean Lake,1998,16,2,218,3.99708,1.55696,3.22431,3.99708,,,,,,,
