species,lake,yearcap,fishID,agecap,lencap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10
YEP,Bean Lake,1998,59,2,233,4.30459,1.81052,3.45343,4.30459,,,,,,,
YEP,Bean Lake,1998,89,2,234,4.18265,1.90213,3.33228,4.18265,,,,,,,
YEP,Bean Lake,1998,72,2,237,4.22802,1.46161,3.34391,4.22802,,,,,,,
YEP,Bean Lake,1998,61,2,238,4.36818,1.66604,3.52765,4.36818,,,,,,,
YEP,Bean Lake,1998,7,2,239,4.38651,1.86965,3.5967,4.38651,,,,,,,
YEP,Bean Lake,1998,30,2,240,4.46809,1.63407,3.53394,4.46809,,,,,,,
YEP,Bean Lake,1998,69,2,243,4.37659,1.90872,3.66291,4.37659,,,,,,,
YEP,Bean Lake,1998,12,2,247,4.89809,1.66429,3.97778,4.89809,,,,,,,
YEP,Bean Lake,1998,88,2,248,4.52022,1.47751,3.57282,4.52022,,,,,,,
YEP,Bean Lake,1998,91,2,248,4.81264,1.69973,3.83808,4.81264,,,,,,,
YEP,Bean Lake,1998,56,2,251,4.80961,1.74062,3.95073,4.80961,,,,,,,
YEP,Bean Lake,1998,57,2,253,4.5225,1.50657,3.5687,4.5225,,,,,,,
YEP,Bean Lake,1998,58,2,253,4.45727,2.34272,3.99756,4.45727,,,,,,,
YEP,Bean Lake,1998,55,2,258,4.57027,1.52629,3.7218,4.57027,,,,,,,
YEP,Bean Lake,1998,5,2,258,4.96571,1.77381,4.04926,4.96571,,,,,,,
YEP,Bean Lake,1998,23,2,261,4.70669,1.6742,3.7946,4.70669,,,,,,,
YEP,Bean Lake,1998,17,2,262,4.9182,1.76704,4.08834,4.9182,,,,,,,
YEP,Bean Lake,1998,6,2,263,4.89169,1.84579,4.09155,4.89169,,,,,,,
YEP,Bean Lake,1998,4,2,265,5.15465,1.77392,4.30178,5.15465,,,,,,,
YEP,Bean Lake,1998,9,2,267,5.21199,1.88053,4.27602,5.21199,,,,,,,
YEP,Bean Lake,1998,20,2,270,4.94881,1.81728,4.03587,4.94881,,,,,,,
YEP,Bean Lake,1998,14,2,271,5.00435,1.53082,3.76786,5.00435,,,,,,,
YEP,Bean Lake,1998,15,2,271,5.0089,1.55584,4.0226,5.0089,,,,,,,
YEP,Bean Lake,1998,13,2,272,4.73733,1.9685,3.8566,4.73733,,,,,,,
YEP,Bean Lake,1998,22,2,275,4.4854,1.71916,3.70648,4.4854,,,,,,,
YEP,Bean Lake,1998,60,2,280,4.95612,1.89316,4.16634,4.95612,,,,,,,
YEP,Bean Lake,1998,53,2,282,5.30734,2.11532,4.50021,5.30734,,,,,,,
YEP,Bean Lake,1998,68,3,285,4.57627,1.22985,3.23034,4.18262,4.57627,,,,,,
YEP,Bean Lake,1998,10,3,288,5.49365,1.54403,3.74909,4.97052,5.49365,,,,,,
YEP,Bean Lake,1998,86,3,289,4.62167,1.56468,3.67308,4.30402,4.62167,,,,,,
YEP,Bean Lake,1998,51,3,291,4.64449,0.94627,2.89655,4.19467,4.64449,,,,,,
YEP,Bean Lake,1998,87,3,292,5.42676,1.34245,3.58303,4.86431,5.42676,,,,,,
YEP,Bean Lake,1998,48,3,297,4.36245,1.04888,2.91273,3.92853,4.36245,,,,,,
YEP,Bean Lake,1998,50,3,297,5.06022,1.19488,3.46602,4.57278,5.06022,,,,,,
YEP,Bean Lake,1998,54,3,297,4.93902,1.12019,3.45154,4.41622,4.93902,,,,,,
YEP,Bean Lake,1998,21,3,300,4.79857,0.86361,3.04165,4.27358,4.79857,,,,,,
YEP,Bean Lake,1998,8,3,303,5.199,1.80882,4.05421,4.81186,5.199,,,,,,
YEP,Bean Lake,1998,65,3,304,4.80794,1.35499,3.363,4.42439,4.80794,,,,,,
YEP,Bean Lake,1998,11,3,307,5.19444,1.27021,3.57737,4.70339,5.19444,,,,,,
YEP,Bean Lake,1998,52,3,316,5.54635,1.71691,3.94667,5.08257,5.54635,,,,,,
YEP,Bean Lake,1998,49,4,305,4.99964,1.0735,2.63173,4.02185,4.67581,4.99964,,,,,
WAE,Bingham Lake,1998,6,2,319,4.63606,2.0375,4.31037,4.63606,,,,,,,
WAE,Bingham Lake,1998,7,2,335,3.75587,1.55242,3.43192,3.75587,,,,,,,
WAE,Bingham Lake,1998,2,2,337,4.53042,2.02262,4.1326,4.53042,,,,,,,
WAE,Bingham Lake,1998,1,2,383,4.02813,1.64114,3.58168,4.02813,,,,,,,
WAE,Bingham Lake,1998,62,3,331,4.30107,0.84058,2.70989,4.05767,4.30107,,,,,,
WAE,Bingham Lake,1998,5,3,438,5.33285,2.08782,4.52037,5.20984,5.33285,,,,,,
WAE,Bingham Lake,1998,308,3,444,5.19028,2.31791,4.42453,5.02743,5.19028,,,,,,
WAE,Bingham Lake,1998,302,3,448,5.10574,2.28092,4.2385,4.90662,5.10574,,,,,,
WAE,Bingham Lake,1998,4,3,448,6.20069,3.14134,4.91767,6.00426,6.20069,,,,,,
WAE,Bingham Lake,1998,61,3,467,5.06308,1.65342,3.8799,4.8239,5.06308,,,,,,
WAE,Bingham Lake,1998,306,3,473,6.01179,1.30204,4.17221,5.61783,6.01179,,,,,,
WAE,Bingham Lake,1998,304,3,500,5.96708,2.39821,4.79637,5.73838,5.96708,,,,,,
WAE,Bingham Lake,1998,307,4,390,4.77732,1.74837,3.19407,3.88197,4.61861,4.77732,,,,,
WAE,Bingham Lake,1998,9,4,478,6.76501,1.90713,4.4028,6.11996,6.68449,6.76501,,,,,
WAE,Bingham Lake,1998,303,4,486,5.59708,1.44855,3.51373,4.92822,5.49972,5.59708,,,,,
WAE,Bingham Lake,1998,60,5,516,6.13911,2.15057,4.03229,4.97428,5.50154,5.95286,6.13911,,,,
WAE,Bingham Lake,1998,57,5,521,7.21831,1.85849,4.7054,6.2106,6.92411,7.12742,7.21831,,,,
WAE,Bingham Lake,1998,56,5,582,6.56391,1.43722,3.56465,5.17102,6.016,6.37566,6.56391,,,,
WAE,Bingham Lake,1998,88,5,587,7.61848,2.01518,4.20378,6.00075,6.87115,7.43417,7.61848,,,,
WAE,Bingham Lake,1998,8,5,596,7.06332,1.52621,3.81,5.56261,6.38599,6.87291,7.06332,,,,
WAE,Bingham Lake,1998,305,6,573,6.71625,1.41532,3.17763,4.57468,5.59232,6.30346,6.61251,6.71625,,,
WAE,Bingham Lake,1998,309,7,560,6.59351,0.82408,3.76565,5.1457,5.8569,6.09602,6.30134,6.47701,6.59351,,
WAE,Bingham Lake,1998,82,7,584,7.32579,1.97487,4.63128,5.85895,6.47701,6.80094,7.07179,7.20937,7.32579,,
WAE,Bingham Lake,1998,81,7,633,8.06332,2.70366,5.21545,6.45748,6.94646,7.49426,7.83311,7.98081,8.06332,,
YEP,Bingham Lake,1998,86,2,194,3.21386,1.12036,2.83356,3.21386,,,,,,,
YEP,Bingham Lake,1998,85,3,160,3.31727,0.77047,1.68923,2.81363,3.31727,,,,,,
YEP,Bingham Lake,1998,3,3,178,3.53953,1.06788,2.04562,3.18817,3.53953,,,,,,
YEP,Bingham Lake,1998,87,3,184,3.7766,0.99602,1.95792,3.36763,3.7766,,,,,,
YEP,Bingham Lake,1998,64,3,189,3.61335,1.12396,2.7945,3.38253,3.61335,,,,,,
YEP,Bingham Lake,1998,63,3,190,3.97122,0.98463,2.06304,3.45566,3.97122,,,,,,
YEP,Buff Lake,1998,48,1,101,1.51998,1.06905,1.51998,,,,,,,,
YEP,Buff Lake,1998,49,1,109,1.52823,1.21297,1.52823,,,,,,,,
YEP,Buff Lake,1998,5,2,116,1.81187,0.56102,1.40778,1.81187,,,,,,,
YEP,Buff Lake,1998,60,2,119,1.36129,0.38561,1.12712,1.36129,,,,,,,
YEP,Buff Lake,1998,52,2,136,2.11154,0.6743,1.51282,2.11154,,,,,,,
YEP,Buff Lake,1998,10,2,141,1.66604,0.80645,1.37827,1.66604,,,,,,,
YEP,Buff Lake,1998,6,2,141,2.16138,0.64787,1.58812,2.16138,,,,,,,
YEP,Buff Lake,1998,7,2,147,2.26274,0.83224,1.68913,2.26274,,,,,,,
YEP,Buff Lake,1998,9,2,148,1.77032,0.48621,1.26839,1.77032,,,,,,,
YEP,Buff Lake,1998,11,2,148,1.84382,0.42945,1.318,1.84382,,,,,,,
YEP,Buff Lake,1998,27,2,150,2.41434,0.64405,2.01108,2.41434,,,,,,,
YEP,Buff Lake,1998,8,2,152,2.412,0.82417,1.86499,2.412,,,,,,,
YEP,Buff Lake,1998,17,2,152,2.38714,0.70717,1.7039,2.38714,,,,,,,
YEP,Buff Lake,1998,29,2,157,2.48325,1.00979,2.04942,2.48325,,,,,,,
YEP,Buff Lake,1998,15,2,158,2.15697,0.53135,1.77815,2.15697,,,,,,,
YEP,Buff Lake,1998,16,2,163,2.43863,0.68168,2.09178,2.43863,,,,,,,
YEP,Buff Lake,1998,12,2,165,2.21213,1.25895,2.01712,2.21213,,,,,,,
YEP,Buff Lake,1998,28,2,165,2.45523,0.92291,1.92228,2.45523,,,,,,,
YEP,Buff Lake,1998,14,2,171,2.43212,0.79826,2.0598,2.43212,,,,,,,
YEP,Buff Lake,1998,50,3,166,2.50246,0.61631,1.71916,2.21644,2.50246,,,,,,
YEP,Buff Lake,1998,13,3,168,2.24315,0.60174,1.45741,2.05907,2.24315,,,,,,
YEP,Buff Lake,1998,51,3,170,2.99907,1.04484,2.14257,2.7342,2.99907,,,,,,
YEP,Buff Lake,1998,53,3,171,2.61869,0.78059,1.73377,2.36889,2.61869,,,,,,
YEP,Buff Lake,1998,30,3,173,2.61495,0.59695,1.55829,2.37524,2.61495,,,,,,
YEP,Buff Lake,1998,18,3,182,3.00301,0.84055,1.98108,2.69548,3.00301,,,,,,
YEP,Buff Lake,1998,54,3,189,2.80599,0.71614,1.81453,2.45863,2.80599,,,,,,
YEP,Buff Lake,1998,33,3,193,3.02445,0.55472,1.5992,2.67341,3.02445,,,,,,
YEP,Buff Lake,1998,55,3,233,4.44801,1.39062,3.12155,4.12379,4.44801,,,,,,
YEP,Buff Lake,1998,26,3,239,4.21878,1.83397,2.73863,3.8327,4.21878,,,,,,
YEP,Buff Lake,1998,58,3,244,3.88703,0.91049,3.04211,3.65646,3.88703,,,,,,
YEP,Buff Lake,1998,47,4,202,3.11826,0.67961,1.59943,2.63341,2.91509,3.11826,,,,,
YEP,Buff Lake,1998,31,4,207,3.19143,0.60127,1.56765,2.38747,2.97988,3.19143,,,,,
YEP,Buff Lake,1998,19,4,208,3.16866,0.65081,1.8355,2.63526,3.0607,3.16866,,,,,
YEP,Buff Lake,1998,56,4,217,3.69047,0.68792,1.88029,2.70546,3.45498,3.69047,,,,,
YEP,Buff Lake,1998,25,4,232,3.97457,1.02573,2.45639,3.28948,3.83675,3.97457,,,,,
YEP,Buff Lake,1998,35,4,235,3.83225,0.5597,1.7909,2.77201,3.43574,3.83225,,,,,
YEP,Buff Lake,1998,2,4,240,4.13543,1.46477,2.58154,3.66479,4.04814,4.13543,,,,,
YEP,Buff Lake,1998,41,4,269,4.98604,1.93648,3.31282,4.40326,4.90112,4.98604,,,,,
YEP,Buff Lake,1998,57,4,275,4.23072,0.90273,2.88904,3.29767,4.01034,4.23072,,,,,
YEP,Buff Lake,1998,20,4,285,4.50675,1.5668,3.13274,3.87369,4.39034,4.50675,,,,,
YEP,Buff Lake,1998,44,4,289,5.36364,1.49714,3.46515,4.68631,5.21336,5.36364,,,,,
YEP,Buff Lake,1998,32,5,211,3.58616,0.81285,2.1024,2.55296,2.99311,3.39784,3.58616,,,,
YEP,Buff Lake,1998,36,5,238,4.21018,0.98876,1.97146,2.84763,3.61912,4.07842,4.21018,,,,
YEP,Buff Lake,1998,59,5,301,5.93798,1.11532,2.51692,4.31423,5.39999,5.85737,5.93798,,,,
YEP,Buff Lake,1998,3,5,302,4.91947,0.9146,1.88023,3.56708,4.3922,4.7861,4.91947,,,,
WAE,Cottonwood Lake,1998,2,1,274,3.11179,2.64386,3.11179,,,,,,,,
WAE,Cottonwood Lake,1998,65,2,271,3.04109,1.0739,2.35067,3.04109,,,,,,,
WAE,Cottonwood Lake,1998,1,2,286,2.82455,1.29631,2.37076,2.82455,,,,,,,
WAE,Cottonwood Lake,1998,67,2,307,3.70766,0.75466,2.90119,3.70766,,,,,,,
YEP,Cottonwood Lake,1998,69,2,137,2.23768,0.80937,1.87811,2.23768,,,,,,,
YEP,Cottonwood Lake,1998,37,2,145,2.20988,0.99909,1.5417,2.20988,,,,,,,
YEP,Cottonwood Lake,1998,13,2,146,2.30359,0.84339,1.55038,2.30359,,,,,,,
YEP,Cottonwood Lake,1998,43,2,154,2.43232,0.78529,1.84588,2.43232,,,,,,,
YEP,Cottonwood Lake,1998,61,2,154,2.7136,0.88313,1.99975,2.7136,,,,,,,
YEP,Cottonwood Lake,1998,38,2,155,2.71368,1.12838,1.94265,2.71368,,,,,,,
YEP,Cottonwood Lake,1998,10,2,155,2.54069,0.9779,1.64298,2.54069,,,,,,,
YEP,Cottonwood Lake,1998,62,2,159,2.66167,0.92041,2.10462,2.66167,,,,,,,
YEP,Cottonwood Lake,1998,42,2,162,3.0489,0.99583,2.38221,3.0489,,,,,,,
YEP,Cottonwood Lake,1998,40,2,163,2.81058,0.88111,1.96728,2.81058,,,,,,,
YEP,Cottonwood Lake,1998,60,2,166,3.23855,1.00704,2.54022,3.23855,,,,,,,
YEP,Cottonwood Lake,1998,14,2,167,3.02571,0.83282,2.44826,3.02571,,,,,,,
YEP,Cottonwood Lake,1998,63,2,167,2.34554,0.71998,1.82616,2.34554,,,,,,,
YEP,Cottonwood Lake,1998,44,2,170,2.84693,0.84161,2.09165,2.84693,,,,,,,
YEP,Cottonwood Lake,1998,8,2,172,3.07898,0.96023,2.34045,3.07898,,,,,,,
YEP,Cottonwood Lake,1998,39,2,179,2.96367,0.92518,2.3855,2.96367,,,,,,,
YEP,Cottonwood Lake,1998,7,2,183,3.21527,1.1304,2.45746,3.21527,,,,,,,
YEP,Cottonwood Lake,1998,11,2,184,3.35249,1.06909,2.63721,3.35249,,,,,,,
YEP,Cottonwood Lake,1998,9,2,184,3.28517,1.05352,2.61226,3.28517,,,,,,,
YEP,Cottonwood Lake,1998,6,3,181,2.94528,1.11542,2.02116,2.56632,2.94528,,,,,,
YEP,Cottonwood Lake,1998,41,3,183,3.29559,0.91495,2.03547,2.83604,3.29559,,,,,,
YEP,Cottonwood Lake,1998,4,3,196,3.5842,1.16878,2.19722,3.21589,3.5842,,,,,,
YEP,Cottonwood Lake,1998,5,3,201,3.58808,1.06282,2.17613,3.209,3.58808,,,,,,
YEP,Cottonwood Lake,1998,12,3,202,3.66857,1.02871,2.0411,3.09485,3.66857,,,,,,
YEP,Cottonwood Lake,1998,3,3,206,3.736,1.39713,2.58688,3.2788,3.736,,,,,,
YEP,Cottonwood Lake,1998,68,3,215,4.28261,1.3398,2.66752,3.69614,4.28261,,,,,,
YEP,Cottonwood Lake,1998,66,4,212,3.58361,0.69908,1.60961,2.43293,3.17967,3.58361,,,,,
WAE,Fish Lake,1998,145,2,284,3.57265,0.9844,2.88017,3.57265,,,,,,,
WAE,Fish Lake,1998,101,2,292,3.25477,0.79499,2.46193,3.25477,,,,,,,
WAE,Fish Lake,1998,98,2,293,3.03182,0.78692,2.11121,3.03182,,,,,,,
WAE,Fish Lake,1998,99,2,296,3.12843,0.80756,2.30929,3.12843,,,,,,,
WAE,Fish Lake,1998,136,2,297,3.2908,0.81836,2.48197,3.2908,,,,,,,
WAE,Fish Lake,1998,102,2,298,3.2821,0.87108,2.32726,3.2821,,,,,,,
WAE,Fish Lake,1998,137,2,299,3.0744,0.79054,2.21785,3.0744,,,,,,,
WAE,Fish Lake,1998,97,2,300,3.39763,0.84922,2.40686,3.39763,,,,,,,
WAE,Fish Lake,1998,96,2,307,3.7391,0.97771,2.68689,3.7391,,,,,,,
WAE,Fish Lake,1998,45,2,307,3.65249,0.82599,2.56767,3.65249,,,,,,,
WAE,Fish Lake,1998,95,2,308,3.96074,0.96181,2.86813,3.96074,,,,,,,
WAE,Fish Lake,1998,143,2,310,3.76584,0.87078,2.65757,3.76584,,,,,,,
WAE,Fish Lake,1998,100,2,322,3.58447,1.03093,2.70505,3.58447,,,,,,,
WAE,Fish Lake,1998,146,2,333,3.91521,2.14045,3.24527,3.91521,,,,,,,
WAE,Fish Lake,1998,141,3,480,6.16014,1.92933,4.28595,5.70521,6.16014,,,,,,
WAE,Fish Lake,1998,46,3,492,5.96133,1.47628,3.83454,5.43244,5.96133,,,,,,
WAE,Fish Lake,1998,203,4,432,5.34945,2.01484,3.32233,4.40523,5.04897,5.34945,,,,,
WAE,Fish Lake,1998,210,4,481,5.57219,1.98139,3.4413,4.57131,5.32545,5.57219,,,,,
WAE,Fish Lake,1998,211,4,492,6.36063,1.85444,4.04318,5.22399,6.08965,6.36063,,,,,
WAE,Fish Lake,1998,144,4,501,5.7003,1.72218,3.36179,4.43676,5.32774,5.7003,,,,,
WAE,Fish Lake,1998,6,4,503,6.31015,1.82322,3.82307,5.23909,6.0391,6.31015,,,,,
WAE,Fish Lake,1998,208,4,507,5.5531,1.36661,3.46927,4.54748,5.25173,5.5531,,,,,
WAE,Fish Lake,1998,140,4,528,6.64527,1.64753,4.00047,5.40254,6.38977,6.64527,,,,,
WAE,Fish Lake,1998,142,4,566,6.98252,1.9534,4.05393,5.38919,6.5442,6.98252,,,,,
WAE,Fish Lake,1998,209,5,494,5.83103,0.73597,2.59296,3.83278,4.91919,5.50278,5.83103,,,,
WAE,Fish Lake,1998,205,5,534,6.89628,2.05498,4.31004,5.50233,6.26592,6.73964,6.89628,,,,
WAE,Fish Lake,1998,200,5,553,6.46115,1.43844,3.35403,4.84072,5.70904,6.19731,6.46115,,,,
WAE,Fish Lake,1998,215,5,643,5.92138,1.84995,3.53281,4.63773,5.16879,5.60874,5.92138,,,,
WAE,Fish Lake,1998,202,6,542,5.95479,1.58721,3.94936,4.90921,5.29465,5.60054,5.82798,5.95479,,,
WAE,Fish Lake,1998,201,7,675,7.3459,2.25297,4.98997,6.02508,6.44227,6.71719,7.0661,7.24004,7.3459,,
WAE,Fish Lake,1998,4,7,683,7.5635,2.25303,4.11458,5.44402,6.27733,6.88673,7.25472,7.42814,7.5635,,
WAE,Fish Lake,1998,5,8,627,7.09571,1.43421,3.7902,5.17877,6.0423,6.50534,6.68322,6.83134,6.96262,7.09571,
WAE,Fish Lake,1998,204,8,633,8.43161,1.39515,3.98347,5.5361,6.77439,7.50016,7.82812,8.08861,8.28779,8.43161,
WAE,Fish Lake,1998,206,8,644,8.18847,1.32593,2.85669,4.2435,5.93134,7.0527,7.60616,7.91154,8.09261,8.18847,
WAE,Fish Lake,1998,213,8,687,7.30763,1.69344,3.43206,4.80841,5.79017,6.37662,6.83958,7.03461,7.18266,7.30763,
WAE,Fish Lake,1998,214,8,688,7.29435,2.32876,4.45989,5.70453,6.29285,6.69938,6.86658,7.05718,7.19898,7.29435,
WAE,Fish Lake,1998,212,8,703,6.56813,0.87934,2.7623,4.50641,5.05461,5.6516,6.03502,6.29293,6.44538,6.56813,
WAE,Fish Lake,1998,207,8,706,7.60325,1.36061,3.47882,4.97081,6.00803,6.55804,7.06566,7.33878,7.51653,7.60325,
YEP,Fish Lake,1998,103,2,148,2.48927,0.99511,1.90929,2.48927,,,,,,,
YEP,Fish Lake,1998,105,2,151,2.50657,0.95335,2.10513,2.50657,,,,,,,
YEP,Fish Lake,1998,17,2,153,2.56367,1.05513,2.18881,2.56367,,,,,,,
YEP,Fish Lake,1998,26,2,157,2.46511,0.86804,1.72372,2.46511,,,,,,,
YEP,Fish Lake,1998,12,2,158,2.8564,1.13678,2.39074,2.8564,,,,,,,
YEP,Fish Lake,1998,27,2,160,2.75684,0.81351,2.07279,2.75684,,,,,,,
YEP,Fish Lake,1998,8,2,167,2.83242,0.91449,2.25645,2.83242,,,,,,,
YEP,Fish Lake,1998,23,2,167,3.41466,1.19084,2.99333,3.41466,,,,,,,
YEP,Fish Lake,1998,20,2,168,3.05224,1.11972,2.76016,3.05224,,,,,,,
YEP,Fish Lake,1998,24,2,172,2.95256,0.74032,2.31773,2.95256,,,,,,,
YEP,Fish Lake,1998,22,2,173,2.91469,0.92533,2.46806,2.91469,,,,,,,
YEP,Fish Lake,1998,16,2,177,3.34011,1.21935,2.7284,3.34011,,,,,,,
YEP,Fish Lake,1998,21,2,177,2.71785,1.10291,2.23524,2.71785,,,,,,,
YEP,Fish Lake,1998,15,2,179,3.11151,1.04585,2.5273,3.11151,,,,,,,
YEP,Fish Lake,1998,13,2,180,3.15209,0.85738,2.3885,3.15209,,,,,,,
YEP,Fish Lake,1998,11,2,182,3.26474,1.11765,2.6465,3.26474,,,,,,,
YEP,Fish Lake,1998,18,2,184,3.42821,1.02306,2.71312,3.42821,,,,,,,
YEP,Fish Lake,1998,14,2,187,3.18784,1.14556,2.59724,3.18784,,,,,,,
YEP,Fish Lake,1998,10,2,188,3.47911,1.25879,2.97301,3.47911,,,,,,,
YEP,Fish Lake,1998,7,2,190,3.61405,1.17748,2.96388,3.61405,,,,,,,
YEP,Fish Lake,1998,9,2,194,3.45827,0.99808,2.67873,3.45827,,,,,,,
YEP,Fish Lake,1998,25,2,198,3.10731,0.98228,2.48946,3.10731,,,,,,,
YEP,Fish Lake,1998,31,2,202,3.32132,1.09294,2.83683,3.32132,,,,,,,
YEP,Fish Lake,1998,104,3,162,2.83286,0.96643,1.79938,2.33549,2.83286,,,,,,
YEP,Fish Lake,1998,19,3,194,3.20539,0.77717,1.98039,2.87496,3.20539,,,,,,
YEP,Fish Lake,1998,32,3,197,3.29358,1.13665,2.0513,2.57627,3.29358,,,,,,
YEP,Fish Lake,1998,29,3,203,3.96529,1.13877,2.5697,3.27726,3.96529,,,,,,
YEP,Fish Lake,1998,39,3,204,3.49041,1.26183,2.39823,2.993,3.49041,,,,,,
YEP,Fish Lake,1998,42,3,204,3.25088,1.13061,2.28155,2.87164,3.25088,,,,,,
YEP,Fish Lake,1998,33,3,206,3.67878,0.97901,2.29886,2.91465,3.67878,,,,,,
YEP,Fish Lake,1998,43,3,210,3.43535,1.01697,2.50857,2.98465,3.43535,,,,,,
YEP,Fish Lake,1998,30,3,210,3.0146,0.87444,1.82975,2.62413,3.0146,,,,,,
YEP,Fish Lake,1998,38,3,211,3.55071,1.19497,2.6242,3.14222,3.55071,,,,,,
YEP,Fish Lake,1998,36,3,212,3.71139,1.13585,2.46956,3.44481,3.71139,,,,,,
YEP,Fish Lake,1998,41,3,219,3.44668,1.19652,2.57618,3.1139,3.44668,,,,,,
YEP,Fish Lake,1998,40,3,220,3.55614,1.0266,2.10632,2.96985,3.55614,,,,,,
YEP,Fish Lake,1998,35,3,220,3.63639,1.19243,2.48225,3.13206,3.63639,,,,,,
YEP,Fish Lake,1998,34,3,222,3.58358,1.25101,2.47651,3.03169,3.58358,,,,,,
YEP,Fish Lake,1998,28,3,225,3.14983,1.15875,2.31148,2.81735,3.14983,,,,,,
YEP,Fish Lake,1998,37,3,226,3.34645,0.97891,2.34104,2.84269,3.34645,,,,,,
YEP,Fish Lake,1998,138,3,233,3.75329,1.24289,2.52952,3.30666,3.75329,,,,,,
YEP,Fish Lake,1998,44,3,237,3.61954,1.23679,2.63553,3.08822,3.61954,,,,,,
YEP,Fish Lake,1998,139,4,234,3.68318,0.98029,2.18927,2.82575,3.45686,3.68318,,,,,
WAE,Fox Lake,1998,132,2,351,4.34423,2.49202,3.66027,4.34423,,,,,,,
WAE,Fox Lake,1998,106,2,355,4.4477,2.43893,3.91208,4.4477,,,,,,,
WAE,Fox Lake,1998,149,2,362,4.46759,2.28084,3.89268,4.46759,,,,,,,
WAE,Fox Lake,1998,13,2,368,5.36597,2.79196,4.59952,5.36597,,,,,,,
WAE,Fox Lake,1998,89,2,369,4.97056,3.1259,4.46439,4.97056,,,,,,,
WAE,Fox Lake,1998,150,2,378,4.25242,2.28295,3.82744,4.25242,,,,,,,
WAE,Fox Lake,1998,145,2,383,5.10594,2.77749,4.80964,5.10594,,,,,,,
WAE,Fox Lake,1998,107,2,387,5.0546,2.45163,4.27778,5.0546,,,,,,,
WAE,Fox Lake,1998,151,2,389,5.19183,2.66447,4.36354,5.19183,,,,,,,
WAE,Fox Lake,1998,153,2,392,5.0127,2.48923,4.0858,5.0127,,,,,,,
WAE,Fox Lake,1998,152,2,392,4.76694,2.44919,4.08146,4.76694,,,,,,,
WAE,Fox Lake,1998,88,2,399,5.13942,2.7345,4.4603,5.13942,,,,,,,
WAE,Fox Lake,1998,102,2,400,5.0589,2.49134,4.59531,5.0589,,,,,,,
WAE,Fox Lake,1998,109,2,419,5.28798,2.71252,4.49423,5.28798,,,,,,,
WAE,Fox Lake,1998,108,3,415,5.45616,2.68964,4.3622,5.05921,5.45616,,,,,,
WAE,Fox Lake,1998,103,3,466,6.10151,1.08003,4.00531,5.407,6.10151,,,,,,
WAE,Fox Lake,1998,144,3,478,5.05923,2.39593,4.03309,4.78001,5.05923,,,,,,
WAE,Fox Lake,1998,90,3,480,5.58406,2.0328,4.20008,5.24512,5.58406,,,,,,
WAE,Fox Lake,1998,91,3,481,6.54523,2.80461,4.35405,5.55429,6.54523,,,,,,
